Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,sic_code_1,bcb_sector,company_age_years,accounts_overdue_days,accounts_ever_late,conf_stmt_overdue_days,num_mortgages_outstanding,num_mortgages_total,has_active_mortgages,has_changed_name,is_active,is_dormant,is_micro,is_small,is_full_accounts,fast_growth_proxy,label_growth_opportunity,label_risk_signal,label_lending_need_proxy,has_mortgage_history,mortgage_completion_rate,mortgage_active_ratio,mortgage_per_year,company_size_score,log_company_age,age_bucket,is_established,total_overdue_days,overdue_intensity,is_severely_overdue,log_overdue,sector_avg_age,sector_mortgage_rate,sector_overdue_rate,sector_dormant_rate,age_vs_sector_avg,sic_division,active_with_mortgages,small_and_growing,overdue_and_active,full_accounts_with_charges
3,2,0,1,70229,Technology_Legal_Professional,24.73922,0.0,0,0.0,2,3,1,0,1,0,0,0,0,0,0,0,1,1,0.3333333333333333,0.6666666666666666,0.0808432925532817,0,3.2480158986785312,4,1,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,15.70096154188792,70,1,0,0,0
0,0,0,0,62012,Technology_Legal_Professional,2.4640658,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,1.2424429859008412,1,0,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,-6.57419265811208,62,0,0,0,0
0,0,0,0,46190,Wholesale_Retail,5.6372347,0.0,0,0.0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,1.8926954159010676,2,0,0.0,0.0,0,0.0,7.248826491578746,0.0776654102669647,0.0824878866388483,0.0999402739328001,-1.6115917915787463,46,0,0,0,0
0,0,0,0,86210,Healthcare,1.8316221,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,1.0408497276621256,0,0,0.0,0.0,0,0.0,7.469492428616393,0.0908360604029491,0.0533799235106257,0.0787564562551748,-5.637870328616393,86,0,0,0,0
0,0,0,0,68320,Real_Estate,12.919918,0.0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2.633320764084325,3,1,0.0,0.0,0,0.0,8.853440750825946,0.3873359004094081,0.034972674094529,0.1084434805451085,4.066477249174053,68,0,0,0,0
0,0,0,0,74990,Technology_Legal_Professional,14.086243,0.0,0,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2.7137832689511887,3,1,18.0,0.0035009383618577,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,5.047984541887919,74,0,0,0,0
0,0,0,0,47110,Wholesale_Retail,13.226557,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1,2.6551104292071472,3,1,0.0,0.0,0,0.0,7.248826491578746,0.0776654102669647,0.0824878866388483,0.0999402739328001,5.977730508421254,47,0,0,0,0
0,0,0,0,70229,Technology_Legal_Professional,0.936345,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.6608021754575484,0,0,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,-8.101913458112081,70,0,0,0,0
0,0,0,0,62012,Technology_Legal_Professional,18.565367,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2.9737610134726467,3,1,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,9.527108541887918,62,0,0,0,0
1,1,0,0,71122,Technology_Legal_Professional,12.265572,0.0,0,0.0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0.0,1.0,0.0815290147088126,2,2.5851721076551195,3,1,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,3.22731354188792,71,1,0,0,0
